,num_topic,topic,user,location,language,retweet_count,followers_count,geo_location,created_at,compound,neg,neu,pos
107,1,pedro sanchez,anaismoremr,"Aguadulce, España",es,1064,1213,,2020-09-10 07:29:08,0.0,0.0,1.0,0.0
108,1,pedro sanchez,amigosdealovera,"Alovera, España",es,1520,58,,2020-09-10 07:29:07,0.0,0.0,1.0,0.0
109,1,pedro sanchez,agbatalla,"alrededores de Madrid, España",es,1071,122,,2020-09-10 07:29:07,0.5859,0.0,0.827,0.173
110,1,pedro sanchez,undosytess,Entre limoneros,es,0,14401,,2020-09-10 07:29:05,-0.7149,0.129,0.871,0.0
111,1,pedro sanchez,jmolinervlc,,es,61,7349,,2020-09-10 07:29:01,0.0,0.0,1.0,0.0
112,1,pedro sanchez,sonia_riverogc,,es,0,13964,,2020-09-10 07:29:00,0.34,0.0,0.862,0.138
113,1,pedro sanchez,JuanS04956833,,es,2,385,,2020-09-10 07:28:56,0.0,0.0,1.0,0.0
114,1,pedro sanchez,0scarwar,"Madrid, Comunidad de Madrid",es,0,36,,2020-09-10 07:28:55,0.0,0.0,1.0,0.0
115,1,pedro sanchez,juanmajalvir,"Ajalvir, España",es,3741,92,,2020-09-10 07:28:53,0.34,0.0,0.906,0.094
116,1,pedro sanchez,martaroldanm,,es,12042,171,,2020-09-10 07:28:49,-0.296,0.084,0.916,0.0
117,1,pedro sanchez,Coseno1,"Madrid, Comunidad de Madrid",es,163,388,,2020-09-10 07:28:47,0.0,0.0,1.0,0.0
118,1,pedro sanchez,aurolosola,,es,86,1088,,2020-09-10 07:28:46,0.0,0.0,1.0,0.0
119,1,pedro sanchez,allsevill,Sevilla,es,2,9169,,2020-09-10 07:28:45,0.5859,0.0,0.827,0.173
120,1,pedro sanchez,Daniel36051013,,es,12042,6,,2020-09-10 07:28:44,-0.296,0.084,0.916,0.0
121,1,pedro sanchez,AntoReq,,es,86,11,,2020-09-10 07:28:40,0.0,0.0,1.0,0.0
122,1,pedro sanchez,Pedro_2454,,es,276,74,,2020-09-10 07:28:40,0.0,0.0,1.0,0.0
123,1,pedro sanchez,Alecrin68,,es,0,1311,,2020-09-10 07:28:36,0.0,0.0,1.0,0.0
124,1,pedro sanchez,LatigazoE,,es,0,84,,2020-09-10 07:28:36,0.0,0.0,1.0,0.0
125,1,pedro sanchez,Mj98Nin,"Sevilla, España",es,3741,152,,2020-09-10 07:28:35,0.34,0.0,0.906,0.094
126,1,pedro sanchez,mirenamores,"Castilla y León, España",es,3,124,,2020-09-10 07:28:30,0.0,0.0,1.0,0.0
127,1,pedro sanchez,Luisaca091,,es,86,125,,2020-09-10 07:28:29,0.0,0.0,1.0,0.0
128,1,pedro sanchez,NicolauAlberto,Barcelona,es,2,1003,,2020-09-10 07:28:27,-0.296,0.095,0.905,0.0
129,1,pedro sanchez,Quequemaoestoy,QuemaoLand,es,897,69,,2020-09-10 07:28:26,0.0,0.0,1.0,0.0
130,1,pedro sanchez,ErreJj,"Sevilla, España",es,0,37,,2020-09-10 07:28:19,-0.296,0.055,0.945,0.0
131,1,pedro sanchez,Disidencia21,España,es,9,351,,2020-09-10 07:28:16,0.0,0.0,1.0,0.0
132,1,pedro sanchez,CsRegionMurcia,Región de Murcia,es,10,7014,,2020-09-10 07:28:15,0.0,0.0,1.0,0.0
133,1,pedro sanchez,Monica78719717,"Madrid, Comunidad de Madrid",es,15,250,,2020-09-10 07:28:14,0.0,0.0,1.0,0.0
134,1,pedro sanchez,JJSEHCLE,"Madrid, España",es,1071,407,,2020-09-10 07:28:13,0.5859,0.0,0.827,0.173
135,1,pedro sanchez,PedroARodrguez,,es,11,361,,2020-09-10 07:28:11,0.0,0.0,1.0,0.0
136,1,pedro sanchez,LauraSn1106,"Marbella, España",es,367,876,,2020-09-10 07:28:10,0.0,0.0,1.0,0.0
137,1,pedro sanchez,Tibygim,,es,1,255,,2020-09-10 07:28:07,0.0,0.0,1.0,0.0
138,1,pedro sanchez,Palentina_72,,es,99,526,,2020-09-10 07:28:05,0.0,0.0,1.0,0.0
139,1,pedro sanchez,EEvadidac,,es,86,394,,2020-09-10 07:28:03,0.0,0.0,1.0,0.0
140,1,pedro sanchez,carmengutierr39,cordoba,es,86,263,,2020-09-10 07:28:03,0.0,0.0,1.0,0.0
141,1,pedro sanchez,carmelomayorv,,es,8,1066,,2020-09-10 07:27:54,0.34,0.0,0.893,0.107
142,1,pedro sanchez,Albiol_XG,Badalona. Catalunya. España,es,3,98840,,2020-09-10 07:27:47,-0.296,0.05,0.95,0.0
143,1,pedro sanchez,mirenamores,"Castilla y León, España",es,2,124,,2020-09-10 07:27:46,0.0,0.0,1.0,0.0
144,1,pedro sanchez,CsCastillayLeon,"Castilla y León, España",es,10,6267,,2020-09-10 07:27:45,0.0,0.0,1.0,0.0
145,1,pedro sanchez,magomto,,es,86,37,,2020-09-10 07:27:43,0.0,0.0,1.0,0.0
146,1,pedro sanchez,betis_com_es,"Sevilla, España",es,86,5455,,2020-09-10 07:27:43,0.0,0.0,1.0,0.0
147,1,pedro sanchez,andoni23651652,,es,3741,50,,2020-09-10 07:27:43,0.34,0.0,0.906,0.094
148,1,pedro sanchez,julius44947833,,es,96,731,,2020-09-10 07:27:42,0.0,0.0,1.0,0.0
149,1,pedro sanchez,Bronchud,,es,1,4045,,2020-09-10 07:27:35,0.4215,0.0,0.924,0.076
150,1,pedro sanchez,LauraMariaEste1,,es,28,2280,,2020-09-10 07:27:33,0.34,0.0,0.909,0.091
151,1,pedro sanchez,miralles333,,es,1179,2691,,2020-09-10 07:27:30,0.0,0.0,1.0,0.0
152,1,pedro sanchez,JuanS04956833,,es,367,385,,2020-09-10 07:27:29,0.0,0.0,1.0,0.0
153,1,pedro sanchez,anaceliab,,es,86,140,,2020-09-10 07:27:29,0.0,0.0,1.0,0.0
154,1,pedro sanchez,amacaballo1963,Donde haya naturaleza,es,86,4362,,2020-09-10 07:27:28,0.0,0.0,1.0,0.0
155,1,pedro sanchez,mablaore22,,es,34,398,,2020-09-10 07:27:26,0.0,0.0,1.0,0.0
156,1,pedro sanchez,yott17,"Madrid, Comunidad de Madrid",es,289,2286,,2020-09-10 07:27:22,0.0,0.0,1.0,0.0
157,1,pedro sanchez,Magali98352416,,es,12042,34,,2020-09-10 07:27:19,-0.296,0.084,0.916,0.0
158,1,pedro sanchez,1_2_3_otra_vez,,es,11,80,,2020-09-10 07:27:19,0.34,0.0,0.902,0.098
159,1,pedro sanchez,Fuyur4,,es,41,118,,2020-09-10 07:27:18,0.34,0.0,0.912,0.088
